country,year,kind,method,source_country,source_package,raw_coverage
HR,2015,solar,nearest_country_proxy,SI,19,0.0
HU,2015,load,direct,HU,2019,1.0
HU,2015,wind,direct,HU,19,0.9490867579908676
HU,2015,solar,nearest_country_proxy,SK,19,0.0
IE,2015,load,direct,IE,2019,0.9997716894977169
IE,2015,wind,direct,IE,19,1.0
IE,2015,solar,nearest_country_proxy,GB,19,0.0
IT,2015,load,direct,IT,2019,1.0
IT,2015,wind,direct,IT,19,0.9970319634703196
IT,2015,solar,direct,IT,19,0.9961187214611872
LT,2015,load,direct,LT,2019,1.0
LT,2015,wind,direct,LT,19,0.9755707762557078
LT,2015,solar,direct,LT,19,0.9738584474885845
LU,2015,load,direct,LU,2019,1.0
LU,2015,wind,nearest_country_proxy,BE,19,0.0
LU,2015,solar,nearest_country_proxy,BE,19,0.0
LV,2015,load,direct,LV,2019,1.0
LV,2015,wind,direct,LV,19,1.0
LV,2015,solar,nearest_country_proxy,LT,19,0.0
ME,2015,load,direct,ME,2019,1.0
ME,2015,wind,nearest_country_proxy,BG,19,0.0
ME,2015,solar,nearest_country_proxy,BG,19,0.0
MK,2015,load,direct,MK,2019,1.0
MK,2015,wind,nearest_country_proxy,BG,19,0.0
MK,2015,solar,nearest_country_proxy,BG,19,0.0
NL,2015,load,direct,NL,2019,1.0
NL,2015,wind,direct,NL,19,0.7785388127853882
NL,2015,solar,direct,NL,19,0.9358447488584475
NO,2015,load,direct,NO,2019,1.0
NO,2015,wind,direct,NO,19,0.9917808219178083
NO,2015,solar,nearest_country_proxy,SE,19,0.0
PL,2015,load,direct,PL,2019,1.0
PL,2015,wind,direct,PL,19,1.0
PL,2015,solar,nearest_country_proxy,SK,19,0.0
PT,2015,load,direct,PT,2019,1.0
PT,2015,wind,direct,PT,19,1.0
PT,2015,solar,direct,PT,19,1.0
RO,2015,load,direct,RO,2019,1.0
RO,2015,wind,direct,RO,19,0.9875570776255708
RO,2015,solar,direct,RO,19,0.9866438356164383
RS,2015,load,direct,RS,2019,1.0
RS,2015,wind,nearest_country_proxy,RO,19,0.0
RS,2015,solar,nearest_country_proxy,RO,19,0.0
SE,2015,load,direct,SE,2019,1.0
SE,2015,wind,direct,SE,19,1.0
SE,2015,solar,direct,SE,19,1.0
SI,2015,load,direct,SI,2019,1.0
SI,2015,wind,direct,SI,19,1.0
SI,2015,solar,direct,SI,19,1.0
SK,2015,load,direct,SK,2019,1.0
SK,2015,wind,nearest_country_proxy,HU,19,0.0
SK,2015,solar,direct,SK,19,0.969634703196347
XK,2015,load,nearest_country_proxy,MK,2019,0.0
XK,2015,wind,nearest_country_proxy,BG,19,0.0
XK,2015,solar,nearest_country_proxy,BG,19,0.0
AL,2016,load,nearest_country_proxy,MK,2019,0.0
AL,2016,wind,nearest_country_proxy,BG,19,0.0
AL,2016,solar,nearest_country_proxy,BG,19,0.0
AT,2016,load,direct,AT,2019,1.0
AT,2016,wind,direct,AT,19,1.0
AT,2016,solar,direct,AT,19,1.0
BA,2016,load,direct,BA,2019,1.0
BA,2016,wind,nearest_country_proxy,SI,19,0.0
BA,2016,solar,nearest_country_proxy,SI,19,0.0
BE,2016,load,direct,BE,2019,1.0
BE,2016,wind,direct,BE,19,1.0
BE,2016,solar,direct,BE,19,1.0
BG,2016,load,direct,BG,2019,1.0
BG,2016,wind,direct,BG,19,1.0
BG,2016,solar,direct,BG,19,1.0
CH,2016,load,direct,CH,2019,1.0
CH,2016,wind,direct,CH,19,0.9945205479452055
CH,2016,solar,direct,CH,20,0.9972602739726028
CZ,2016,load,direct,CZ,2019,1.0
CZ,2016,wind,direct,CZ,19,1.0
CZ,2016,solar,direct,CZ,19,1.0
DE,2016,load,direct,DE,2019,1.0
DE,2016,wind,direct,DE,19,1.0
DE,2016,solar,direct,DE,19,1.0
DK,2016,load,direct,DK,2019,1.0
DK,2016,wind,direct,DK,19,1.0
DK,2016,solar,direct,DK,19,1.0
EE,2016,load,direct,EE,2019,1.0
EE,2016,wind,direct,EE,19,0.9986301369863013
EE,2016,solar,direct,EE,19,0.9986301369863013
ES,2016,load,direct,ES,2019,1.0
ES,2016,wind,direct,ES,19,1.0
ES,2016,solar,direct,ES,19,1.0
FI,2016,load,direct,FI,2019,1.0
FI,2016,wind,direct,FI,19,0.9993150684931507
FI,2016,solar,nearest_country_proxy,EE,19,0.0
FR,2016,load,direct,FR,2019,1.0
FR,2016,wind,direct,FR,19,1.0
FR,2016,solar,direct,FR,19,1.0
GB,2016,load,direct,GB,2019,1.0
GB,2016,wind,direct,GB,19,1.0
GB,2016,solar,direct,GB,19,1.0
GR,2016,load,direct,GR,2019,1.0
GR,2016,wind,direct,GR,19,0.9994292237442922
GR,2016,solar,direct,GR,19,0.9994292237442922
HR,2016,load,direct,HR,2019,1.0
HR,2016,wind,nearest_country_proxy,SI,19,0.0
HR,2016,solar,nearest_country_proxy,SI,19,0.0
HU,2016,load,direct,HU,2019,1.0
HU,2016,wind,direct,HU,19,0.9431506849315069
HU,2016,solar,nearest_country_proxy,SK,19,0.0
IE,2016,load,direct,IE,2019,0.9998858447488584
IE,2016,wind,direct,IE,19,1.0
IE,2016,solar,nearest_country_proxy,GB,19,0.0
IT,2016,load,direct,IT,2019,1.0
IT,2016,wind,direct,IT,20,1.0
IT,2016,solar,direct,IT,20,1.0
LT,2016,load,direct,LT,2019,1.0
LT,2016,wind,direct,LT,19,0.9392694063926941
LT,2016,solar,direct,LT,19,0.9392694063926941
LU,2016,load,direct,LU,2019,1.0
LU,2016,wind,nearest_country_proxy,BE,19,0.0
LU,2016,solar,nearest_country_proxy,BE,19,0.0
LV,2016,load,direct,LV,2019,1.0
LV,2016,wind,direct,LV,19,0.997716894977169
LV,2016,solar,nearest_country_proxy,LT,19,0.0
ME,2016,load,direct,ME,2019,1.0
ME,2016,wind,nearest_country_proxy,BG,19,0.0
ME,2016,solar,nearest_country_proxy,BG,19,0.0
MK,2016,load,direct,MK,2019,1.0
MK,2016,wind,nearest_country_proxy,BG,19,0.542351598173516
MK,2016,solar,nearest_country_proxy,BG,19,0.0
NL,2016,load,direct,NL,2019,1.0
NL,2016,wind,direct,NL,19,1.0
NL,2016,solar,direct,NL,19,0.9865296803652968
NO,2016,load,direct,NO,2019,1.0
NO,2016,wind,direct,NO,19,1.0
NO,2016,solar,nearest_country_proxy,SE,19,0.0
PL,2016,load,direct,PL,2019,1.0
PL,2016,wind,direct,PL,19,1.0
PL,2016,solar,nearest_country_proxy,SK,19,0.0
PT,2016,load,direct,PT,2019,1.0
PT,2016,wind,direct,PT,19,1.0
PT,2016,solar,direct,PT,19,1.0
RO,2016,load,direct,RO,2019,1.0
RO,2016,wind,direct,RO,19,1.0
RO,2016,solar,direct,RO,19,1.0
RS,2016,load,direct,RS,2019,1.0
RS,2016,wind,nearest_country_proxy,RO,19,0.0
RS,2016,solar,nearest_country_proxy,RO,19,0.0
SE,2016,load,direct,SE,2019,1.0
SE,2016,wind,direct,SE,19,1.0
SE,2016,solar,direct,SE,19,1.0
SI,2016,load,direct,SI,2019,1.0
SI,2016,wind,direct,SI,19,1.0
SI,2016,solar,direct,SI,19,1.0
SK,2016,load,direct,SK,2019,1.0
SK,2016,wind,nearest_country_proxy,HU,19,0.0
SK,2016,solar,direct,SK,19,1.0
XK,2016,load,nearest_country_proxy,MK,2019,0.0
XK,2016,wind,nearest_country_proxy,BG,19,0.0
XK,2016,solar,nearest_country_proxy,BG,19,0.0
AL,2017,load,direct,AL,2019,1.0
AL,2017,wind,nearest_country_proxy,MK,19,0.0
AL,2017,solar,nearest_country_proxy,BG,19,0.0
AT,2017,load,direct,AT,2019,1.0
AT,2017,wind,direct,AT,19,1.0
AT,2017,solar,direct,AT,19,1.0
BA,2017,load,direct,BA,2019,1.0
BA,2017,wind,nearest_country_proxy,MK,19,0.0
BA,2017,solar,nearest_country_proxy,SI,19,0.0
BE,2017,load,direct,BE,2019,1.0
BE,2017,wind,direct,BE,19,0.9855022831050229
BE,2017,solar,direct,BE,19,1.0
BG,2017,load,direct,BG,2019,1.0
BG,2017,wind,direct,BG,19,1.0
BG,2017,solar,direct,BG,19,1.0
CH,2017,load,direct,CH,2019,1.0
CH,2017,wind,direct,CH,19,0.9973744292237443
CH,2017,solar,direct,CH,19,0.9973744292237443
CZ,2017,load,direct,CZ,2019,1.0
CZ,2017,wind,direct,CZ,19,1.0
CZ,2017,solar,direct,CZ,19,1.0
DE,2017,load,direct,DE,2019,1.0
DE,2017,wind,direct,DE,19,1.0
DE,2017,solar,direct,DE,19,1.0
DK,2017,load,direct,DK,2019,1.0
DK,2017,wind,direct,DK,19,1.0
DK,2017,solar,direct,DK,19,1.0
EE,2017,load,direct,EE,2019,1.0
EE,2017,wind,direct,EE,19,0.998972602739726
EE,2017,solar,direct,EE,19,0.998972602739726
ES,2017,load,direct,ES,2019,1.0
ES,2017,wind,direct,ES,19,1.0
ES,2017,solar,direct,ES,19,1.0
FI,2017,load,direct,FI,2019,1.0
FI,2017,wind,direct,FI,19,1.0
FI,2017,solar,nearest_country_proxy,EE,19,0.0
FR,2017,load,direct,FR,2019,1.0
FR,2017,wind,direct,FR,19,1.0
FR,2017,solar,direct,FR,19,1.0
GB,2017,load,direct,GB,2019,1.0
GB,2017,wind,direct,GB,19,1.0
GB,2017,solar,direct,GB,19,1.0
GR,2017,load,direct,GR,2019,1.0
GR,2017,wind,direct,GR,19,0.9994292237442922
GR,2017,solar,direct,GR,19,0.9994292237442922
HR,2017,load,direct,HR,2019,1.0
HR,2017,wind,nearest_country_proxy,SI,19,0.0
HR,2017,solar,nearest_country_proxy,SI,19,0.0
HU,2017,load,direct,HU,2019,1.0
HU,2017,wind,direct,HU,19,0.9464611872146119
HU,2017,solar,nearest_country_proxy,SK,19,0.0
IE,2017,load,direct,IE,2019,1.0
IE,2017,wind,direct,IE,20,0.9982876712328768
IE,2017,solar,nearest_country_proxy,GB,19,0.0
IT,2017,load,direct,IT,2019,1.0
IT,2017,wind,direct,IT,20,1.0
IT,2017,solar,direct,IT,20,1.0
LT,2017,load,direct,LT,2019,1.0
LT,2017,wind,direct,LT,19,0.9985159817351598
LT,2017,solar,direct,LT,19,0.9985159817351598
LU,2017,load,direct,LU,2019,1.0
LU,2017,wind,nearest_country_proxy,BE,19,0.0
LU,2017,solar,nearest_country_proxy,BE,19,0.0
LV,2017,load,direct,LV,2019,1.0
LV,2017,wind,direct,LV,19,0.9980593607305936
LV,2017,solar,nearest_country_proxy,LT,19,0.0
ME,2017,load,direct,ME,2019,1.0
ME,2017,wind,nearest_country_proxy,MK,19,0.0
ME,2017,solar,nearest_country_proxy,BG,19,0.0
MK,2017,load,direct,MK,2019,1.0
MK,2017,wind,direct,MK,19,0.8410958904109589
MK,2017,solar,nearest_country_proxy,BG,19,0.0
NL,2017,load,direct,NL,2019,1.0
NL,2017,wind,direct,NL,19,0.9970319634703196
NL,2017,solar,direct,NL,19,0.9972602739726028
NO,2017,load,direct,NO,2019,1.0
NO,2017,wind,direct,NO,19,0.9917808219178083
NO,2017,solar,nearest_country_proxy,SE,19,0.0
PL,2017,load,direct,PL,2019,1.0
PL,2017,wind,direct,PL,19,1.0
PL,2017,solar,nearest_country_proxy,SK,19,0.0
PT,2017,load,direct,PT,2019,1.0
PT,2017,wind,direct,PT,19,1.0
PT,2017,solar,direct,PT,19,1.0
RO,2017,load,direct,RO,2019,1.0
RO,2017,wind,direct,RO,19,1.0
RO,2017,solar,direct,RO,19,1.0
RS,2017,load,direct,RS,2019,1.0
RS,2017,wind,nearest_country_proxy,MK,19,0.0
RS,2017,solar,nearest_country_proxy,RO,19,0.0
SE,2017,load,direct,SE,2019,1.0
SE,2017,wind,direct,SE,19,1.0
SE,2017,solar,direct,SE,19,1.0
SI,2017,load,direct,SI,2019,1.0
SI,2017,wind,direct,SI,19,1.0
SI,2017,solar,direct,SI,19,1.0
SK,2017,load,direct,SK,2019,1.0
SK,2017,wind,nearest_country_proxy,HU,19,0.0
SK,2017,solar,direct,SK,19,0.9954337899543378
XK,2017,load,nearest_country_proxy,MK,2019,0.0
XK,2017,wind,nearest_country_proxy,MK,19,0.0
XK,2017,solar,nearest_country_proxy,BG,19,0.0
AL,2018,load,direct,AL,2019,0.9997716894977169
AL,2018,wind,nearest_country_proxy,MK,19,0.0
AL,2018,solar,nearest_country_proxy,BG,19,0.0
AT,2018,load,direct,AT,2019,1.0
AT,2018,wind,direct,AT,19,1.0
AT,2018,solar,direct,AT,19,1.0
BA,2018,load,direct,BA,2019,1.0
BA,2018,wind,nearest_country_proxy,MK,19,0.0
BA,2018,solar,nearest_country_proxy,SI,19,0.0
BE,2018,load,direct,BE,2019,1.0
BE,2018,wind,direct,BE,19,0.9528538812785388
BE,2018,solar,direct,BE,19,1.0
BG,2018,load,direct,BG,2019,1.0
BG,2018,wind,direct,BG,19,1.0
BG,2018,solar,direct,BG,19,1.0
CH,2018,load,direct,CH,2019,1.0
CH,2018,wind,direct,CH,20,1.0
CH,2018,solar,direct,CH,19,1.0
CZ,2018,load,direct,CZ,2019,1.0
CZ,2018,wind,direct,CZ,19,1.0
CZ,2018,solar,direct,CZ,19,1.0
DE,2018,load,direct,DE,2019,1.0
DE,2018,wind,direct,DE,19,1.0
DE,2018,solar,direct,DE,19,1.0
DK,2018,load,direct,DK,2019,1.0
DK,2018,wind,direct,DK,19,1.0
DK,2018,solar,direct,DK,19,1.0
EE,2018,load,direct,EE,2019,0.9996575342465753
EE,2018,wind,direct,EE,20,0.9976027397260274
EE,2018,solar,direct,EE,20,0.9976027397260274
ES,2018,load,direct,ES,2019,1.0
ES,2018,wind,direct,ES,19,1.0
ES,2018,solar,direct,ES,19,1.0
FI,2018,load,direct,FI,2019,1.0
FI,2018,wind,direct,FI,19,1.0
FI,2018,solar,nearest_country_proxy,EE,20,0.0
FR,2018,load,direct,FR,2019,1.0
FR,2018,wind,direct,FR,19,1.0
FR,2018,solar,direct,FR,19,1.0
GB,2018,load,direct,GB,2019,1.0
GB,2018,wind,direct,GB,20,0.9996575342465753
GB,2018,solar,direct,GB,20,1.0
GR,2018,load,direct,GR,2019,1.0
GR,2018,wind,direct,GR,19,1.0
GR,2018,solar,direct,GR,19,1.0
HR,2018,load,direct,HR,2019,1.0
HR,2018,wind,nearest_country_proxy,SI,19,0.0
HR,2018,solar,nearest_country_proxy,SI,19,0.0
HU,2018,load,direct,HU,2019,1.0
HU,2018,wind,direct,HU,19,0.9818493150684932
HU,2018,solar,nearest_country_proxy,SK,19,0.0
IE,2018,load,direct,IE,2019,1.0
IE,2018,wind,direct,IE,20,1.0
IE,2018,solar,nearest_country_proxy,GB,20,0.0
IT,2018,load,direct,IT,2019,1.0
IT,2018,wind,direct,IT,20,0.998972602739726
IT,2018,solar,direct,IT,20,0.998972602739726
LT,2018,load,direct,LT,2019,1.0
LT,2018,wind,direct,LT,19,0.9974885844748859
LT,2018,solar,direct,LT,19,0.9974885844748859
LU,2018,load,direct,LU,2019,0.9997716894977169
LU,2018,wind,nearest_country_proxy,BE,19,0.0
LU,2018,solar,nearest_country_proxy,BE,19,0.0
LV,2018,load,direct,LV,2019,1.0
LV,2018,wind,direct,LV,19,0.9996575342465753
LV,2018,solar,nearest_country_proxy,LT,19,0.0
ME,2018,load,direct,ME,2019,1.0
ME,2018,wind,nearest_country_proxy,MK,19,0.5864155251141553
ME,2018,solar,nearest_country_proxy,BG,19,0.0
MK,2018,load,direct,MK,2019,1.0
MK,2018,wind,direct,MK,19,0.9506849315068493
MK,2018,solar,nearest_country_proxy,BG,19,0.0
NL,2018,load,direct,NL,2019,1.0
NL,2018,wind,direct,NL,19,1.0
NL,2018,solar,direct,NL,19,0.9917808219178083
NO,2018,load,direct,NO,2019,1.0
NO,2018,wind,direct,NO,19,1.0
NO,2018,solar,nearest_country_proxy,SE,19,0.0
PL,2018,load,direct,PL,2019,1.0
PL,2018,wind,direct,PL,19,1.0
PL,2018,solar,nearest_country_proxy,SK,19,0.0
PT,2018,load,direct,PT,2019,1.0
PT,2018,wind,direct,PT,19,1.0
PT,2018,solar,direct,PT,19,1.0
RO,2018,load,direct,RO,2019,1.0
RO,2018,wind,direct,RO,19,0.9994292237442922
RO,2018,solar,direct,RO,19,0.9994292237442922
RS,2018,load,direct,RS,2019,1.0
RS,2018,wind,nearest_country_proxy,MK,19,0.0
RS,2018,solar,nearest_country_proxy,RO,19,0.0
SE,2018,load,direct,SE,2019,1.0
SE,2018,wind,direct,SE,20,1.0
SE,2018,solar,direct,SE,19,0.9997716894977169
SI,2018,load,direct,SI,2019,1.0
SI,2018,wind,direct,SI,19,1.0
SI,2018,solar,direct,SI,19,1.0
SK,2018,load,direct,SK,2019,1.0
SK,2018,wind,nearest_country_proxy,HU,19,0.0
SK,2018,solar,direct,SK,19,0.9921232876712329
XK,2018,load,nearest_country_proxy,MK,2019,0.0
XK,2018,wind,nearest_country_proxy,MK,19,0.0
XK,2018,solar,nearest_country_proxy,BG,19,0.0
