hoy,battery_soc_r2_gwh_target,battery_soc_r5_gwh_target,battery_soc_r6_gwh_target,climatology_eue_gwh
66,30.137247506924666,59.004550000000044,58.948462465373986,0.0
67,30.137247506924666,59.004550000000044,58.948462465373986,0.0
68,30.137247506924666,59.004550000000044,58.948462465373986,0.0
69,30.137247506924666,59.004550000000044,58.948462465373986,0.0
70,30.137247506924666,59.004550000000044,58.948462465373986,0.0
71,30.137247506924666,59.004550000000044,61.47946246537397,0.0
72,37.596997506924666,59.004550000000044,61.47946246537397,0.0
73,48.85769750692466,59.004550000000044,61.47946246537397,0.0
74,48.85769750692466,74.31920000000002,61.47946246537397,0.0
75,65.19019750692466,74.31920000000002,61.47946246537397,0.0
76,78.98764750692467,74.31920000000002,61.47946246537397,0.0
77,78.98764750692467,74.31920000000002,65.66301246537395,0.0
78,78.98764750692467,74.31920000000002,65.66301246537395,0.0
79,78.98764750692467,74.31920000000002,65.66301246537395,0.0
80,78.98764750692467,74.31920000000002,65.66301246537395,0.0
81,78.98764750692467,74.31920000000002,65.66301246537395,0.0
82,78.98764750692467,74.31920000000002,65.66301246537395,0.0
83,78.98764750692467,74.31920000000002,65.66301246537395,0.0
84,78.98764750692467,74.31920000000002,65.66301246537395,0.0
85,78.98764750692467,74.31920000000002,65.66301246537395,0.0
86,78.98764750692467,74.31920000000002,65.66301246537395,0.0
87,78.98764750692467,74.31920000000002,65.66301246537395,0.0
88,78.98764750692467,74.31920000000002,65.66301246537395,0.0
89,78.98764750692467,74.31920000000002,65.66301246537395,0.0
90,78.98764750692467,74.31920000000002,65.66301246537395,0.0
91,78.98764750692467,74.31920000000002,65.66301246537395,0.0
92,78.98764750692467,74.31920000000002,65.66301246537395,0.0
93,78.98764750692467,74.31920000000002,65.66301246537395,0.0
94,78.98764750692467,74.31920000000002,65.66301246537395,0.0
95,78.98764750692467,74.31920000000002,65.66301246537395,0.0
96,84.63679750692468,74.31920000000002,65.66301246537395,0.0
97,84.63679750692468,83.50605000000002,65.66301246537395,0.0
98,84.63679750692468,83.50605000000002,78.36571246537395,0.0
99,84.63679750692468,83.50605000000002,91.60631246537393,0.0
100,94.91499750692466,83.50605000000002,91.60631246537393,0.0
101,94.91499750692466,83.50605000000002,92.09201246537393,0.0
102,94.91499750692466,83.50605000000002,92.09201246537393,0.0
103,94.91499750692466,83.50605000000002,92.09201246537393,0.0
104,94.91499750692466,83.50605000000002,92.09201246537393,0.0
105,93.01452908587257,83.50605000000002,92.09201246537393,0.0
106,93.01452908587257,83.50605000000002,92.09201246537393,0.0
107,93.01452908587257,83.50605000000002,92.09201246537393,0.0
108,93.01452908587257,83.50605000000002,92.09201246537393,0.0
109,93.01452908587257,83.50605000000002,92.09201246537393,0.0
110,93.01452908587257,83.50605000000002,92.09201246537393,0.0
111,93.01452908587257,83.50605000000002,92.09201246537393,0.0
112,93.01452908587257,83.50605000000002,92.09201246537393,0.0
113,93.01452908587257,83.50605000000002,92.09201246537393,0.0
114,74.34500000000001,83.50605000000002,92.09201246537393,0.0
115,74.34500000000001,83.50605000000002,92.09201246537393,0.0
116,74.34500000000001,83.50605000000002,92.09201246537393,0.0
117,74.34500000000001,83.50605000000002,92.09201246537393,0.0
118,74.34500000000001,83.50605000000002,92.09201246537393,0.0
119,74.97395000000002,83.50605000000002,92.09201246537393,0.0
120,74.97395000000002,83.50605000000002,96.22756246537392,0.0
121,74.97395000000002,90.92895000000001,96.22756246537392,0.0
122,85.85700000000001,90.92895000000001,96.22756246537392,0.0
123,97.51615,90.92895000000001,96.22756246537392,0.0
124,97.51615,100.0,96.22756246537392,0.0
125,97.51615,100.0,96.22756246537392,0.0
126,97.51615,100.0,96.22756246537392,0.0
127,97.51615,99.88219459833795,96.08980000000001,0.0
128,97.51615,99.88219459833795,96.08980000000001,0.0
129,97.51615,99.88219459833795,96.08980000000001,0.0
130,97.51615,99.88219459833795,96.08980000000001,0.0
131,97.51615,99.88219459833795,96.08980000000001,0.0
132,97.51615,99.88219459833795,96.08980000000001,0.0
133,97.51615,99.88219459833795,96.08980000000001,0.0
134,97.51615,99.88219459833795,96.08980000000001,0.0
135,97.51615,99.88219459833795,96.08980000000001,0.0
136,97.51615,99.88219459833795,96.08980000000001,0.0
137,97.51615,99.88219459833795,96.08980000000001,0.0
138,97.51615,98.52225000000003,96.08980000000001,0.0
139,97.51615,98.52225000000003,96.08980000000001,0.0
140,97.51615,98.52225000000003,96.08980000000001,0.0
141,97.51615,98.52225000000003,96.08980000000001,0.0
142,97.51615,98.52225000000003,96.08980000000001,0.0
143,97.51615,98.52225000000003,96.08980000000001,0.0
144,97.51615,98.52225000000003,96.08980000000001,0.0
145,97.51615,98.52225000000003,96.08980000000001,0.0
146,100.0,98.52225000000003,96.08980000000001,0.0
147,100.0,98.52225000000003,100.0,0.0
148,100.0,100.0,100.0,0.0
149,100.0,100.0,100.0,0.0
150,100.0,100.0,100.0,0.0
151,100.0,100.0,100.0,0.0
152,100.0,100.0,100.0,0.0
153,100.0,100.0,100.0,0.0
154,100.0,100.0,100.0,0.0
155,100.0,100.0,100.0,0.0
156,100.0,100.0,100.0,0.0
157,100.0,100.0,100.0,0.0
158,100.0,100.0,100.0,0.0
159,100.0,100.0,89.5068698060942,0.0
160,100.0,100.0,89.5068698060942,0.0
161,100.0,90.6205540166205,89.5068698060942,0.0
162,100.0,90.6205540166205,89.5068698060942,0.0
163,100.0,86.60260387811637,89.5068698060942,0.0
164,100.0,86.60260387811637,89.5068698060942,0.0
165,100.0,86.60260387811637,89.5068698060942,0.0
166,100.0,86.60260387811637,89.5068698060942,0.0
167,100.0,86.60260387811637,89.5068698060942,0.0
168,100.0,86.60260387811637,89.5068698060942,0.0
169,100.0,86.60260387811637,89.5068698060942,0.0
170,100.0,86.60260387811637,89.6819198060942,0.0
171,100.0,86.60260387811637,91.24631980609419,0.0
172,100.0,86.60260387811637,91.24631980609419,0.0
173,100.0,86.60260387811637,91.24631980609419,0.0
174,100.0,86.60260387811637,91.24631980609419,0.0
175,100.0,86.60260387811637,91.24631980609419,0.0
176,95.3604850415513,86.60260387811637,84.58677354570636,0.0
177,95.3604850415513,86.60260387811637,84.58677354570636,0.0
178,95.3604850415513,86.40188365650971,84.58677354570636,0.0
179,95.3604850415513,86.40188365650971,84.58677354570636,0.0
180,95.3604850415513,86.40188365650971,84.58677354570636,0.0
181,95.3604850415513,86.40188365650971,84.58677354570636,0.0
182,95.3604850415513,86.40188365650971,84.58677354570636,0.0
183,95.3604850415513,86.40188365650971,84.58677354570636,0.0
184,79.31876759002776,86.40188365650971,84.58677354570636,0.0
185,79.31876759002776,86.40188365650971,80.55525000000002,0.0
186,79.31876759002776,86.40188365650971,80.55525000000002,0.0
187,79.31876759002776,86.40188365650971,80.55525000000002,0.0
188,79.31876759002776,86.40188365650971,80.55525000000002,0.0
189,79.31876759002776,86.40188365650971,80.55525000000002,0.0
190,79.31876759002776,86.40188365650971,80.55525000000002,0.0
191,79.31876759002776,86.40188365650971,80.55525000000002,0.0
192,79.31876759002776,86.40188365650971,82.60430000000001,0.0
193,85.53626759002776,86.40188365650971,82.60430000000001,0.0
194,85.53626759002776,86.40188365650971,93.26425,0.0
195,97.45521759002776,86.40188365650971,93.26425,0.0
196,97.45521759002776,95.56258365650969,93.26425,0.0
197,97.45521759002776,95.56258365650969,93.26425,0.0
198,97.45521759002776,95.56258365650969,93.26425,0.0
199,97.45521759002776,95.56258365650969,93.26425,0.0
200,97.45521759002776,95.56258365650969,93.26425,0.0
201,97.45521759002776,95.56258365650969,93.26425,0.0
202,97.45521759002776,95.56258365650969,93.26425,0.0
203,97.45521759002776,95.56258365650969,93.26425,0.0
204,97.45521759002776,95.56258365650969,93.26425,0.0
205,97.45521759002776,95.56258365650969,93.26425,0.0
206,97.45521759002776,95.56258365650969,93.26425,0.0
207,97.45521759002776,95.56258365650969,93.26425,0.0
208,97.45521759002776,95.56258365650969,93.26425,0.0
209,97.45521759002776,95.56258365650969,93.26425,0.0
210,97.45521759002776,95.56258365650969,93.26425,0.0
211,97.45521759002776,95.56258365650969,93.26425,0.0
212,97.45521759002776,95.56258365650969,93.26425,0.0
213,97.45521759002776,95.56258365650969,93.26425,0.0
214,97.45521759002776,95.56258365650969,93.26425,0.0
215,97.45521759002776,95.56258365650969,93.26425,0.0
216,92.42225360110808,95.56258365650969,93.26425,0.0
217,92.42225360110808,95.56258365650969,93.26425,0.0
218,94.13113725761771,97.32905000000002,93.26425,0.0
219,94.13113725761771,97.32905000000002,98.19144999999999,0.0
220,94.13113725761771,100.0,98.19144999999999,0.0
221,94.13113725761771,100.0,98.19144999999999,0.0
222,94.13113725761771,100.0,98.19144999999999,0.0
223,94.13113725761771,100.0,98.19144999999999,0.0
224,94.13113725761771,88.5050969529086,98.19144999999999,0.0
225,91.9521344875346,88.5050969529086,98.19144999999999,0.0
226,91.9521344875346,88.5050969529086,98.19144999999999,0.0
227,91.9521344875346,88.5050969529086,98.19144999999999,0.0
228,91.9521344875346,88.5050969529086,98.19144999999999,0.0
229,91.9521344875346,88.5050969529086,98.19144999999999,0.0
230,91.9521344875346,88.5050969529086,98.19144999999999,0.0
231,91.9521344875346,88.5050969529086,98.19144999999999,0.0
232,91.9521344875346,88.5050969529086,98.19144999999999,0.0
233,91.9521344875346,88.5050969529086,98.19144999999999,0.0
234,91.9521344875346,88.5050969529086,98.19144999999999,0.0
235,91.9521344875346,88.5050969529086,98.19144999999999,0.0
236,91.9521344875346,88.5050969529086,98.19144999999999,0.0
237,91.9521344875346,88.5050969529086,98.19144999999999,0.0
238,91.9521344875346,88.5050969529086,98.19144999999999,0.0
239,91.9521344875346,88.5050969529086,98.19144999999999,0.0
240,91.9521344875346,88.5050969529086,98.19144999999999,0.0
241,91.9521344875346,88.5050969529086,100.0,0.0
242,91.9521344875346,94.41214695290861,100.0,0.0
243,98.74688448753459,94.41214695290861,100.0,0.0
244,98.74688448753459,98.4061969529086,100.0,0.0
245,98.74688448753459,98.4061969529086,100.0,0.0
246,98.74688448753459,98.4061969529086,100.0,0.0
247,89.85187063711908,98.4061969529086,100.0,0.0
248,89.85187063711908,92.73705567867042,100.0,0.0
