scenario,success,objective_eur,electricity_demand_twh,eue_gwh,eue_twh,lole_h,max_shortfall_gw,dr_gwh,h2_demand_twh,thermal_twh,vre_twh,battery_discharge_twh,year
Electricity only,True,26849606848.688377,1297.59356,215.77808999999965,0.2157780899999996,20,37.126,0.0,0.0,819.5818803048408,458.10165,29.8463587975,2008
Electricity only,True,30602912449.509087,1296.75229,468.9206874999993,0.4689206874999992,31,39.645,0.0,0.0,832.2207527519391,444.65390800000006,29.751643339999998,2009
Electricity only,True,32532415617.325382,1328.14114,185.7021424999996,0.1857021424999995,14,34.01599999999999,0.0,0.0,892.1646048423753,409.171502,29.501211824999995,2010
Electricity only,True,24260919905.64952,1276.53025,0.0,0.0,0,0.0,0.0,0.0,810.2791367197023,446.172403,28.93906691,2011
Electricity only,True,29134770424.56109,1300.32895,318.72865249999967,0.3187286524999996,17,39.343,0.0,0.0,838.6097712820568,439.198291,32.00426791166666,2012
Electricity only,True,26205562195.44628,1312.21553,0.0,0.0,0,0.0,0.0,0.0,839.0759859563505,449.868526,29.646835525,2013
Electricity only,True,23270402058.18299,1272.3780499999998,0.0,0.0,0,0.0,0.0,0.0,813.1846588076663,438.111914,32.808563934999995,2014
Electricity only,True,23707822886.39696,1288.62121,0.0,0.0,0,0.0,0.0,0.0,807.6060122959004,460.059693,29.828867577499995,2015
Electricity only,True,27496299777.363693,1292.81084,44.45402249999961,0.0444540224999996,7,11.958999999999987,0.0,0.0,848.6205643550278,419.607671,28.119602662499997,2016
Electricity only,True,27191787699.78104,1289.24469,247.39833999999945,0.2473983399999994,19,36.457,0.0,0.0,820.4102701848337,447.537844,31.38612164,2017
