hoy,battery_soc_r2_gwh_target,battery_soc_r5_gwh_target,battery_soc_r6_gwh_target,h2_inventory_gwh_target,climatology_eue_gwh
48,45.96349030470913,58.04831024930747,35.72132963988911,464.6233852631575,0.0
49,45.96349030470913,58.04831024930747,35.72132963988911,462.027578947368,0.0
50,45.96349030470913,58.04831024930747,35.72132963988911,477.1571494736838,0.0
51,45.96349030470913,58.04831024930747,35.72132963988911,493.3985515789469,0.0
52,45.96349030470913,58.04831024930747,35.72132963988911,507.8524968421048,0.0
53,45.96349030470913,58.04831024930747,35.72132963988911,502.8524968421048,0.0
54,45.96349030470913,58.04831024930747,35.72132963988911,504.2837642105259,0.0
55,45.96349030470913,58.04831024930747,35.72132963988911,499.2837642105259,0.0
56,45.96349030470913,58.04831024930747,35.72132963988911,494.2837642105259,0.0
57,45.96349030470913,58.04831024930747,35.72132963988911,489.2837642105259,0.0
58,45.96349030470913,58.04831024930747,35.72132963988911,484.2837642105259,0.0
59,45.96349030470913,58.04831024930747,35.72132963988911,482.68701473684166,0.0
60,45.96349030470913,58.04831024930747,35.72132963988911,477.68701473684166,0.0
61,45.96349030470913,58.04831024930747,35.72132963988911,479.09637894736795,0.0
62,45.96349030470913,58.04831024930747,35.72132963988911,481.76384842105216,0.0
63,45.96349030470913,58.04831024930747,35.72132963988911,479.95557052631534,0.0
64,45.96349030470913,58.04831024930747,35.72132963988911,474.95557052631534,0.0
65,45.96349030470913,58.04831024930747,35.72132963988911,469.95557052631534,0.0
66,45.96349030470913,58.04831024930747,35.72132963988911,464.95557052631534,0.0
67,45.96349030470913,58.04831024930747,35.72132963988911,459.95557052631534,0.0
68,45.96349030470913,58.04831024930747,35.72132963988911,455.86508210526273,0.0
69,45.96349030470913,58.04831024930747,35.72132963988911,459.25077052631536,0.0
70,45.96349030470913,58.04831024930747,35.72132963988911,454.25077052631536,0.0
71,45.96349030470913,58.04831024930747,35.72132963988911,451.16900210526273,0.0
72,45.96349030470913,58.04831024930747,35.72132963988911,451.82270736842065,0.0
73,45.96349030470913,58.04831024930747,35.72132963988911,455.35713263157857,0.0
74,45.96349030470913,58.04831024930747,35.72132963988911,461.9640252631575,0.0
75,45.96349030470913,58.04831024930747,35.72132963988911,478.56402526315753,0.0
76,45.96349030470913,58.04831024930747,35.72132963988911,495.16402526315755,0.0
77,45.96349030470913,58.04831024930747,35.72132963988911,507.73471578947334,0.0
78,45.96349030470913,58.04831024930747,35.72132963988911,509.9166399999997,0.0
79,45.96349030470913,58.04831024930747,35.72132963988911,504.9166399999997,0.0
80,45.96349030470913,58.04831024930747,35.72132963988911,499.9166399999997,0.0
81,45.96349030470913,58.04831024930747,35.72132963988911,494.9166399999997,0.0
82,45.96349030470913,58.04831024930747,35.72132963988911,496.8509978947365,0.0
83,45.96349030470913,58.04831024930747,35.72132963988911,491.8509978947365,0.0
84,45.96349030470913,58.04831024930747,35.72132963988911,508.45099789473653,0.0
85,45.96349030470913,58.04831024930747,35.72132963988911,503.45099789473653,0.0
86,45.96349030470913,58.04831024930747,35.72132963988911,505.0450989473681,0.0
87,45.96349030470913,58.04831024930747,35.72132963988911,500.8958357894734,0.0
88,45.96349030470913,58.04831024930747,35.72132963988911,495.8958357894734,0.0
89,45.96349030470913,58.04831024930747,35.72132963988911,494.1639157894734,0.0
90,45.96349030470913,58.04831024930747,35.72132963988911,489.1639157894734,0.0
91,45.96349030470913,58.04831024930747,35.72132963988911,494.9506147368418,0.0
92,45.96349030470913,58.04831024930747,35.72132963988911,489.9506147368418,0.0
93,45.96349030470913,58.04831024930747,35.72132963988911,488.1376757894734,0.0
94,45.96349030470913,58.04831024930747,35.72132963988911,504.7376757894734,0.0
95,45.96349030470913,58.04831024930747,35.72132963988911,514.1376757894734,0.0
96,45.96349030470913,58.04831024930747,35.72132963988911,530.7376757894734,0.0
97,45.96349030470913,58.04831024930747,35.72132963988911,532.7003410526313,0.0
98,45.96349030470913,58.04831024930747,35.72132963988911,537.3276505263156,0.0
99,45.96349030470913,58.04831024930747,35.72132963988911,553.9276505263156,0.0
100,45.96349030470913,58.04831024930747,35.72132963988911,570.5276505263156,0.0
101,45.96349030470913,58.04831024930747,35.72132963988911,587.1276505263156,0.0
102,45.96349030470913,58.04831024930747,35.72132963988911,589.5605515789472,0.0
103,45.96349030470913,58.04831024930747,35.72132963988911,584.5605515789472,0.0
104,45.96349030470913,58.04831024930747,35.72132963988911,579.5605515789472,0.0
105,45.96349030470913,58.04831024930747,35.72132963988911,574.5605515789472,0.0
106,45.96349030470913,58.04831024930747,35.72132963988911,571.6848926315788,0.0
107,45.96349030470913,58.04831024930747,35.72132963988911,566.6848926315788,0.0
108,45.96349030470913,58.04831024930747,35.72132963988911,561.6848926315788,0.0
109,45.96349030470913,58.04831024930747,35.72132963988911,562.6655915789472,0.0
110,45.96349030470913,58.04831024930747,35.72132963988911,557.6655915789472,0.0
111,45.96349030470913,58.04831024930747,35.72132963988911,552.6655915789472,0.0
112,45.96349030470913,58.04831024930747,35.72132963988911,557.5928757894735,0.0
113,45.96349030470913,58.04831024930747,35.72132963988911,570.9937263157893,0.0
114,45.96349030470913,58.04831024930747,35.72132963988911,565.9937263157893,0.0
115,45.96349030470913,58.04831024930747,35.72132963988911,560.9937263157893,0.0
116,45.96349030470913,58.04831024930747,35.72132963988911,560.5390863157893,0.0
117,45.96349030470913,58.04831024930747,35.72132963988911,563.679482105263,0.0
118,45.96349030470913,58.04831024930747,35.72132963988911,558.679482105263,0.0
119,45.96349030470913,58.04831024930747,35.72132963988911,572.1561599999999,0.0
120,45.96349030470913,58.04831024930747,35.72132963988911,570.2904715789473,0.0
121,45.96349030470913,58.04831024930747,35.72132963988911,570.9162484210525,0.0
