storage_capex_eur_per_kwh,reconversion_capex_eur_per_kw,annualized_cost_meur,breakeven_reliability_value_eur_per_mwh
7.0,550.0,1306.9916535444456,8182.759165820227
7.0,600.0,1371.7904561777787,8588.448823243929
7.0,650.0,1436.5892588111121,8994.138480667632
7.0,700.0,1501.3880614444456,9399.828138091334
7.0,750.0,1566.1868640777789,9805.517795515036
7.0,800.0,1630.9856667111126,10211.207452938741
7.0,850.0,1695.7844693444456,10616.897110362443
7.0,900.0,1760.5832719777788,11022.586767786144
7.0,950.0,1825.3820746111126,11428.276425209848
7.0,1000.0,1890.1808772444458,11833.96608263355
8.0,250.0,1003.0852412555563,6280.074497586512
8.0,300.0,1067.88404388889,6685.764155010214
8.0,350.0,1132.6828465222231,7091.453812433918
8.0,400.0,1197.4816491555566,7497.14346985762
8.0,450.0,1262.2804517888899,7902.833127281322
8.0,500.0,1327.0792544222234,8308.522784705025
8.0,550.0,1391.8780570555568,8714.212442128728
8.0,600.0,1456.67685968889,9119.90209955243
8.0,650.0,1521.4756623222233,9525.591756976133
8.0,700.0,1586.2744649555568,9931.281414399835
8.0,750.0,1651.07326758889,10336.971071823536
8.0,800.0,1715.8720702222238,10742.660729247242
8.0,850.0,1780.670872855557,11148.350386670943
8.0,900.0,1845.46967548889,11554.040044094643
8.0,950.0,1910.2684781222238,11959.729701518349
8.0,1000.0,1975.067280755557,12365.41935894205
9.0,250.0,1087.9716447666676,6811.527773895013
9.0,300.0,1152.770447400001,7217.217431318715
9.0,350.0,1217.5692500333344,7622.907088742417
9.0,400.0,1282.3680526666676,8028.596746166119
9.0,450.0,1347.166855300001,8434.286403589822
9.0,500.0,1411.9656579333343,8839.976061013524
9.0,550.0,1476.7644605666678,9245.665718437227
9.0,600.0,1541.5632632000013,9651.35537586093
9.0,650.0,1606.3620658333346,10057.04503328463
9.0,700.0,1671.160868466668,10462.734690708336
9.0,750.0,1735.9596711000013,10868.424348132037
9.0,800.0,1800.7584737333348,11274.11400555574
9.0,850.0,1865.5572763666682,11679.803662979442
9.0,900.0,1930.3560790000015,12085.493320403144
9.0,950.0,1995.154881633335,12491.182977826847
9.0,1000.0,2059.9536842666685,12896.872635250551
10.0,250.0,1172.8580482777786,7342.981050203511
10.0,300.0,1237.656850911112,7748.670707627214
10.0,350.0,1302.4556535444456,8154.360365050917
10.0,400.0,1367.2544561777788,8560.05002247462
10.0,450.0,1432.053258811112,8965.73967989832
10.0,500.0,1496.8520614444456,9371.429337322024
10.0,550.0,1561.6508640777788,9777.118994745726
10.0,600.0,1626.4496667111125,10182.80865216943
