scenario,success,objective_eur,electricity_demand_twh,eue_gwh,eue_twh,lole_h,max_shortfall_gw,dr_gwh,h2_demand_twh,thermal_twh,vre_twh,battery_discharge_twh,electrolysis_twh_el,fuelcell_twh_el,h2_inventory_max_twh,h2_import_twh,year,h2_storage_gwh,fuelcell_total_gw
S2000_P15,True,27296484120.70797,1297.59356,0.0,0.0,0,0.0,0.0,43.8,873.5269958177585,458.10164999999995,22.518398820626352,64.70051341540409,1.5314033124999997,2.0,0.0,2008,2000.0,15.0
S500_P15,True,32474246518.575737,1296.7522900000001,330.44481694444346,0.33044481694444344,21,35.523,0.0,43.8,885.8487228640672,444.65390800000006,19.77449353444444,61.52696882019293,0.27467965279639894,0.5,0.0,2009,500.0,15.0
S2000_P15,True,28812331060.789787,1296.7522900000001,0.0,0.0,0,0.0,0.0,43.8,891.1044426376322,444.65390800000006,21.674892918333327,68.22933410488525,2.9288163055345375,2.0,0.0,2009,2000.0,15.0
S500_P15,True,34901278881.8047,1328.14114,17.57291316204962,0.01757291316204962,1,17.57291316204962,0.0,43.8,946.0775259579489,409.17150200000003,17.092206115784023,62.23215146897296,0.5539319817132963,0.5,0.0,2010,500.0,15.0
S2000_P15,True,34353985129.17448,1328.14114,0.0,0.0,0,0.0,0.0,43.8,947.6607653533449,409.17150200000003,19.277658491358093,64.0908652692516,1.2899826466236242,2.0,0.0,2010,2000.0,15.0
S500_P15,True,27339586658.9377,1276.53025,0.0,0.0,0,0.0,0.0,43.8,865.327803211069,446.172403,18.586060342499998,62.33362546502768,0.5941156841509696,0.5,0.0,2011,500.0,15.0
S2000_P15,True,26785305946.982784,1276.53025,0.0,0.0,0,0.0,0.0,43.8,870.678126146865,446.172403,21.359381178337866,69.60341462984489,3.4729521934185565,2.0,0.0,2011,2000.0,15.0
S500_P15,True,31181284897.303036,1300.32895,176.5278844667587,0.1765278844667587,9,41.55599999999999,0.0,43.8,893.2287915208382,439.198291,19.016689180277776,62.68045069541326,0.7314584753836568,0.5,0.0,2012,500.0,15.0
S2000_P15,True,28984396555.643745,1300.32895,0.0,0.0,0,0.0,0.0,43.8,897.3981625141685,439.198291,22.36771220994097,66.90551246183821,2.404582934887917,2.0,0.0,2012,2000.0,15.0
S500_P15,True,29562278549.868195,1312.21553,0.0,0.0,0,0.0,0.0,43.8,892.2432870670101,449.86852600000003,18.21517153388888,61.08046407828282,0.09786377499999989,0.5,0.0,2013,500.0,15.0
S2000_P15,True,28844242522.934277,1312.21553,0.0,0.0,0,0.0,0.0,43.8,891.8754599861643,449.86852600000003,22.949683240474698,61.82181475216083,0.39143864185567734,2.0,0.0,2013,2000.0,15.0
S500_P15,True,26507875465.856712,1272.3780499999998,0.0,0.0,0,0.0,0.0,43.8,863.2744641465143,438.111914,17.43809796,61.37151833487226,0.21312126060941838,0.5,0.0,2014,500.0,15.0
S2000_P15,True,25894285953.113728,1272.3780499999998,0.0,0.0,0,0.0,0.0,43.8,859.7710242741165,438.111914,21.641149865375617,61.44117465277782,0.24070516250000012,2.0,0.0,2014,2000.0,15.0
S500_P15,True,26755872470.53296,1288.62121,0.0,0.0,0,0.0,0.0,43.8,863.9097506440237,460.059693,18.35746105189966,62.31685296696535,0.587473774918283,0.5,0.0,2015,500.0,15.0
S2000_P15,True,26062797383.56632,1288.62121,0.0,0.0,0,0.0,0.0,43.8,866.8367897162923,460.059693,22.146267654440337,67.33840308786367,2.576007622793988,2.0,0.0,2015,2000.0,15.0
S500_P15,True,30641299755.9188,1292.8108399999999,0.0,0.0,0,0.0,0.0,43.8,901.5965845625085,419.60767100000004,14.787991594999996,61.593444806958075,0.3010041435554012,0.5,0.0,2016,500.0,15.0
S2000_P15,True,29993506185.52277,1292.8108399999999,0.0,0.0,0,0.0,0.0,43.8,901.5267476834465,419.60767100000004,19.482842428277408,62.522862869788234,0.6690536964361188,2.0,0.0,2016,2000.0,15.0
S500_P15,True,30793253835.98605,1289.24469,281.71833833333216,0.28171833833333215,22,32.316,0.0,43.8,873.6262567424064,447.537844,18.315589668611107,61.87259509501874,0.41154765762742396,0.5,0.0,2017,500.0,15.0
S2000_P15,True,27452265510.723335,1289.24469,0.0,0.0,0,0.0,0.0,43.8,878.5140435390958,447.537844,22.408895428053686,67.5571022934495,2.662612508205978,2.0,0.0,2017,2000.0,15.0
